epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,6452.64,0.64581,0.45387,1.07419,0.76893,0.69235,0.75655,0.46667,1.53547,1.25928,1.73728,0.0044065,0.0044065,0.0044065
115,6509.11,0.64731,0.45593,1.07623,0.77828,0.68616,0.75951,0.46422,1.53533,1.25629,1.73189,0.004357,0.004357,0.004357
116,6565.76,0.63034,0.44739,1.06676,0.78474,0.6765,0.75851,0.46624,1.53955,1.23809,1.73451,0.0043075,0.0043075,0.0043075
117,6622.07,0.63652,0.44412,1.06635,0.79994,0.67624,0.76626,0.46771,1.53798,1.23448,1.73466,0.004258,0.004258,0.004258
118,6678.81,0.63233,0.44409,1.06536,0.79478,0.6828,0.77012,0.47247,1.53709,1.22888,1.73472,0.0042085,0.0042085,0.0042085
119,6735.31,0.62692,0.4423,1.06292,0.78815,0.68087,0.76638,0.467,1.54,1.23302,1.73512,0.004159,0.004159,0.004159
120,6791.79,0.61942,0.43126,1.05322,0.83392,0.67018,0.76685,0.46506,1.54085,1.23905,1.73438,0.0041095,0.0041095,0.0041095
121,6848.19,0.62541,0.43269,1.06295,0.82789,0.6667,0.76077,0.46658,1.53958,1.2337,1.73143,0.00406,0.00406,0.00406
122,6904.71,0.61454,0.43399,1.05909,0.82334,0.66604,0.76163,0.46718,1.54223,1.22953,1.73755,0.0040105,0.0040105,0.0040105
123,6961.08,0.61208,0.42887,1.05303,0.81236,0.66404,0.76273,0.4674,1.53703,1.22296,1.73444,0.003961,0.003961,0.003961
124,7017.71,0.61048,0.42478,1.05544,0.81735,0.66127,0.76196,0.46624,1.53354,1.22956,1.72627,0.0039115,0.0039115,0.0039115
125,7074.32,0.6116,0.42894,1.05345,0.82054,0.64907,0.76205,0.46532,1.53185,1.22628,1.72511,0.003862,0.003862,0.003862
126,7130.69,0.60546,0.42205,1.05267,0.83482,0.65371,0.76302,0.46758,1.53355,1.2319,1.73197,0.0038125,0.0038125,0.0038125
127,7187.37,0.59728,0.41887,1.04809,0.81102,0.65351,0.75878,0.46843,1.5319,1.23056,1.73458,0.003763,0.003763,0.003763
128,7243.76,0.59994,0.42215,1.04616,0.79521,0.68215,0.76563,0.47144,1.52931,1.22419,1.73463,0.0037135,0.0037135,0.0037135
129,7300.29,0.6002,0.42118,1.04598,0.79968,0.68677,0.77121,0.47345,1.52798,1.23593,1.73758,0.003664,0.003664,0.003664
130,7356.83,0.59667,0.41607,1.04404,0.80687,0.68007,0.76936,0.47066,1.52018,1.23772,1.7313,0.0036145,0.0036145,0.0036145
131,7413.41,0.59803,0.4205,1.04609,0.82148,0.67561,0.76668,0.46832,1.51808,1.2355,1.73073,0.003565,0.003565,0.003565
132,7469.93,0.5814,0.40995,1.03382,0.83563,0.67203,0.76892,0.47077,1.51412,1.23376,1.72472,0.0035155,0.0035155,0.0035155
133,7526.41,0.5858,0.41053,1.03518,0.82462,0.675,0.76843,0.46821,1.51454,1.23859,1.72848,0.003466,0.003466,0.003466
134,7582.91,0.57796,0.40831,1.03634,0.81056,0.67808,0.7662,0.46835,1.51673,1.23915,1.73148,0.0034165,0.0034165,0.0034165
135,7639.46,0.57394,0.40344,1.03227,0.81556,0.67807,0.76631,0.47243,1.51546,1.24153,1.73099,0.003367,0.003367,0.003367
136,7695.9,0.57757,0.40091,1.03695,0.81262,0.67804,0.76621,0.47282,1.51723,1.2353,1.73583,0.0033175,0.0033175,0.0033175
137,7752.32,0.56502,0.39463,1.0271,0.80517,0.68495,0.76393,0.47169,1.51588,1.22934,1.73361,0.003268,0.003268,0.003268
138,7808.65,0.57248,0.39932,1.03173,0.80497,0.67703,0.76215,0.47135,1.51742,1.22471,1.73965,0.0032185,0.0032185,0.0032185
139,7864.89,0.5597,0.3879,1.02428,0.79338,0.688,0.75898,0.47112,1.51477,1.22207,1.7363,0.003169,0.003169,0.003169
140,7921.12,0.56004,0.38852,1.0219,0.79457,0.68763,0.75833,0.47057,1.51092,1.21454,1.73296,0.0031195,0.0031195,0.0031195
141,7977.55,0.56279,0.39055,1.02346,0.79161,0.68275,0.76118,0.47089,1.5115,1.2138,1.73378,0.00307,0.00307,0.00307
142,8033.87,0.5612,0.38869,1.02399,0.8021,0.6945,0.76391,0.47015,1.51354,1.20013,1.73803,0.0030205,0.0030205,0.0030205
143,8090.35,0.55232,0.38285,1.0196,0.79247,0.69378,0.7616,0.4679,1.51147,1.20013,1.73505,0.002971,0.002971,0.002971
144,8146.78,0.5478,0.38231,1.01636,0.78603,0.69433,0.76133,0.47028,1.50907,1.19927,1.73267,0.0029215,0.0029215,0.0029215
